,id,object_name,chain,object_type,address,number,latitude,longitude,district
1493,77122,Буфет при кинотеатре «Иллюзион»,нет,буфет,"город Москва, Котельническая набережная, дом 1/15, корпус ВК",44,55.745656,37.642923,Таганский
1494,149077,Пекарня Жаворонок,нет,кафетерий,"город Москва, улица Перерва, дом 56/2",53,55.657845,37.747729,Марьино
1495,132293,Ресторан «Нар Шараб»,нет,ресторан,"город Москва, Марксистская улица, дом 38",98,55.733918,37.666584,Таганский
1496,53131,Кафе «Starbucks»,да,кафе,"город Москва, Марксистская улица, дом 38",40,55.733918,37.666584,Таганский
1497,28921,СТОЛОВАЯ ПРИ ГОУ СОШ № 1934,нет,столовая,"город Москва, Мячковский бульвар, дом 5, корпус 1",160,55.657255,37.754017,Марьино
1498,21801,Шантимель (кондитерские),да,кафе,"город Москва, Жулебинский бульвар, дом 5",32,55.698553,37.8449,Выхино-Жулебино
1499,128963,Папа Джонс,да,кафе,"город Москва, Братиславская улица, дом 26",45,55.65431,37.763728,Марьино
1500,69795,Кафе «Ла Рокка»,нет,кафе,"город Москва, Братиславская улица, дом 26",55,55.65431,37.763728,Марьино
1501,21909,Шоколадница,да,кафе,"город Москва, Жулебинский бульвар, дом 10/6",98,55.698538,37.849643,Выхино-Жулебино
1502,25800,Милано пицца,да,предприятие быстрого обслуживания,"город Москва, Привольная улица, дом 61, корпус 1",20,55.682539,37.84578,Выхино-Жулебино
1503,25829,Ночной клуб «ZALL»,нет,бар,"город Москва, Братиславская улица, дом 29, корпус 1",150,55.653807,37.767061,Марьино
1504,25353,Макдоналдс,да,предприятие быстрого обслуживания,"город Москва, Братиславская улица, дом 16, корпус 1",95,55.659358,37.75744,Марьино
1505,82454,Ресторан «Сандык»,нет,ресторан,"город Москва, улица Перерва, дом 52",55,55.655783,37.744576,Марьино
1506,140333,Ресторан «Якуми»,нет,ресторан,"город Москва, улица Перерва, дом 52",50,55.655783,37.744576,Марьино
1507,26576,Якитория,да,ресторан,"город Москва, улица Перерва, дом 52",55,55.655783,37.744576,Марьино
1508,141325,Кальян-бар PAROVARNYA,нет,кафе,"город Москва, Братиславская улица, дом 14",30,55.659119,37.755006,Марьино
1509,143449,Добрынинский,нет,буфет,"город Москва, Братиславская улица, дом 14",0,55.659119,37.755006,Марьино
1510,29752,Кафе «Шашлычный дворик»,нет,кафе,"город Москва, Братиславская улица, дом 14",32,55.659119,37.755006,Марьино
1511,25358,Ресторан «Сим-Сити»,нет,ресторан,"город Москва, Братиславская улица, дом 20",60,55.656372,37.760863,Марьино
1512,143038,Ресторан «Джон Джоли»,да,ресторан,"город Москва, Люблинская улица, дом 163/1",93,55.651237,37.745016,Марьино
1513,126355,Ресторан «Корчма Тарас Бульба»,да,ресторан,"город Москва, Люблинская улица, дом 163/1",75,55.651237,37.745016,Марьино
1514,20724,Бар «Кружка»,нет,бар,"город Москва, Люблинская улица, дом 163/1",65,55.651237,37.745016,Марьино
1515,24476,Зодиак,да,ресторан,"город Москва, Жулебинский бульвар, дом 25",96,55.689913,37.852266,Выхино-Жулебино
1516,119428,Кафе «Ковчег»,нет,кафе,"город Москва, Жулебинский бульвар, дом 25",50,55.689913,37.852266,Выхино-Жулебино
1517,24520,1001 ночь,нет,ресторан,"город Москва, Братиславская улица, дом 31, корпус 1",70,55.652664,37.767717,Марьино
1518,27760,ИДЕЛЬ,нет,кафе,"город Москва, Южнопортовая улица, дом 18",30,55.706218,37.684712,Южнопортовый
1519,141796,Кальян-Бар «Бедуин»,нет,бар,"город Москва, улица Верхние Поля, дом 36, корпус 1",70,55.668198,37.764007,Марьино
1520,25567,Кафе «ТАРХИЛ»,нет,кафе,"город Москва, Братиславская улица, дом 30",40,55.652212,37.766208,Марьино
1521,82453,Кафе «Английский дворик»,нет,кафе,"город Москва, Братиславская улица, дом 30",25,55.652212,37.766208,Марьино
1522,20503,Кафе «Сим-сити Home»,нет,кафе,"город Москва, Братиславская улица, дом 13, корпус 1",50,55.661013,37.760369,Марьино
1523,26983,Ресторан «Ёрш»,да,ресторан,"город Москва, улица Перерва, дом 58",50,55.662816,37.7608,Марьино
1524,52584,Караоке клуб FIVE,нет,бар,"город Москва, улица Перерва, дом 58",55,55.662816,37.7608,Марьино
1525,69798,Тануки,да,ресторан,"город Москва, улица Перерва, дом 58",50,55.662816,37.7608,Марьино
1526,29801,Закусочная «Пицца»,нет,закусочная,"город Москва, Братиславская улица, дом 27, корпус 1",40,55.654533,37.765552,Марьино
1527,81072,Чудо-Печка,нет,кафе,"город Москва, улица Трофимова, дом 33",40,55.703621,37.6835,Южнопортовый
1528,26580,Торро Гриль,да,ресторан,"город Москва, 3-й Крутицкий переулок, дом 11",180,55.731262,37.666036,Южнопортовый
1529,154648,Шаурма,нет,предприятие быстрого обслуживания,"город Москва, улица Вавилова, дом 97",0,55.675423,37.541332,Ломоносовский
1530,20405,ФИТНЕС-БАР «WORLD CLASS»,да,бар,"город Москва, улица Архитектора Власова, дом 22",25,55.669945,37.54277,Обручевский
1531,154771,Стардогс,нет,предприятие быстрого обслуживания,"город Москва, Ломоносовский проспект, дом 23",4,55.691526,37.538134,Гагаринский
1532,29935,Шоколадница,да,кафе,"город Москва, Ломоносовский проспект, дом 23",49,55.691526,37.538134,Гагаринский
1533,23967,Lounge bar M&F,нет,закусочная,"город Москва, Скобелевская улица, дом 1, корпус 2",14,55.551181,37.55699,Южное Бутово
1534,29075,Школьно-базовая столовая,нет,столовая,"город Москва, улица Адмирала Лазарева, дом 68, корпус 3",120,55.540032,37.506109,Южное Бутово
1535,26604,Италония,нет,ресторан,"город Москва, Южнобутовская улица, дом 69",50,55.535162,37.527696,Южное Бутово
1536,25746,Роллофф,да,закусочная,"город Москва, улица Адмирала Лазарева, дом 52, корпус 3",20,55.544148,37.516422,Южное Бутово
1537,20415,Чашка,нет,бар,"город Москва, улица Академика Семёнова, дом 3",40,55.543516,37.511544,Южное Бутово
1538,23966,Зеленый Мыс,нет,кафе,"город Москва, Южнобутовская улица, дом 75",40,55.534816,37.526313,Южное Бутово
1539,151147,Суши Wok,да,магазин (отдел кулинарии),"город Москва, Чечёрский проезд, дом 56, корпус 1",6,55.532966,37.527265,Южное Бутово
1540,26314,Якитория,да,ресторан,"город Москва, бульвар Дмитрия Донского, дом 11",150,55.566807,37.576385,Северное Бутово
1541,24631,Кружка,да,кафе,"город Москва, бульвар Адмирала Ушакова, дом 5",198,55.546908,37.552633,Южное Бутово
1542,153510,MEDUZZA Lounge Bar,нет,кафе,"город Москва, бульвар Адмирала Ушакова, дом 5",30,55.546908,37.552633,Южное Бутово
1543,146540,Домино'с Пицца,да,закусочная,"город Москва, бульвар Адмирала Ушакова, дом 11",16,55.546083,37.549184,Южное Бутово
1544,28366,СТОЛОВАЯ ПРИ ПАНСИОНАТЕ ДЛЯ ВЕТЕРАНОВ ТРУДА N 6,нет,столовая,"город Москва, улица Островитянова, дом 10, строение 1",70,55.639654,37.500872,Тёплый Стан
1545,20536,Точка кипения,нет,ресторан,"город Москва, улица Дмитрия Ульянова, дом 5",86,55.692475,37.561509,Гагаринский
1546,80697,Кафе Южное,нет,кафе,"город Москва, улица Дмитрия Ульянова, дом 5",86,55.692475,37.561509,Гагаринский
1547,153315,Тоже Паб,нет,бар,"город Москва, Валовая улица, дом 21, корпус 125",44,55.730101,37.630939,Замоскворечье
1548,23937,Шалахо,нет,кафе,"город Москва, Старокачаловская улица, дом 6",40,55.569164,37.588377,Северное Бутово
1549,21711,ЕГОЗА,нет,кафе,"город Москва, бульвар Дмитрия Донского, дом 16",40,55.564053,37.570941,Северное Бутово
1550,74634,Пекарня,нет,кафе,"город Москва, Кожевническая улица, дом 8, строение 2",15,55.729539,37.644755,Замоскворечье
1551,23568,СТОЛОВАЯ ШКОЛА 1543,нет,столовая,"город Москва, улица 26-ти Бакинских Комиссаров, дом 3, корпус 3",150,55.655447,37.487829,Тропарёво-Никулино
1552,19718,Буфет,нет,буфет,"город Москва, проспект Вернадского, дом 82, строение 2",40,55.66734,37.475603,Тропарёво-Никулино
1553,27693,Арт-столовая,нет,столовая,"город Москва, Курсовой переулок, дом 8/2",60,55.740537,37.604807,Хамовники
1554,72415,Встреча,нет,кафе,"город Москва, Веерная улица, дом 30, корпус 2",40,55.709799,37.478253,Очаково-Матвеевское
1555,128240,Банзай,нет,кафе,"город Москва, улица Академика Анохина, дом 9",4,55.659348,37.472989,Тропарёво-Никулино
1556,20148,Кафе «Кулинарное бюро»,да,кафе,"город Москва, улица Академика Анохина, дом 13",18,55.656285,37.472584,Тропарёво-Никулино
1557,19820,Столовая при школе № 542,нет,столовая,"город Москва, улица Покрышкина, дом 9",60,55.663593,37.466961,Тропарёво-Никулино
1558,19618,КАФЕ «Галладенс»,нет,кафе,"город Москва, Мичуринский проспект, дом 21, корпус 2",25,55.699715,37.505651,Раменки
1559,23275,столовая при школе № 1317,нет,столовая,"город Москва, улица Академика Анохина, дом 4, корпус 1",130,55.66929,37.474336,Тропарёво-Никулино
1560,22863,Россичъ,нет,ресторан,"город Москва, Нежинская улица, дом 9, корпус 1",45,55.710935,37.474291,Очаково-Матвеевское
1561,151118,Элемент,нет,бар,"город Москва, Нежинская улица, дом 9, корпус 1",20,55.710935,37.474291,Очаково-Матвеевское
1562,157568,Кафе «Tornano»,нет,кафе,"город Москва, проспект Вернадского, дом 92",18,55.655214,37.47315,Тропарёво-Никулино
1563,19955,РЕСТОРАН «СКАЙ КЛУБ»,нет,ресторан,"город Москва, Минская улица, дом 1Г, корпус 1",40,55.713065,37.501007,Раменки
1564,22965,Ресторан «Кувшин»,нет,ресторан,"город Москва, улица Академика Анохина, дом 58",280,55.650236,37.469171,Тропарёво-Никулино
1565,136317,Кафе «Страдивари» бар,нет,кафе,"город Москва, улица Академика Анохина, дом 60",45,55.649048,37.468793,Тропарёво-Никулино
1566,23267,Столовая при школе № 1329 (второе здание),нет,столовая,"город Москва, улица Академика Анохина, дом 2, корпус 6",150,55.671031,37.473393,Тропарёво-Никулино
1567,27640,СТОЛОВАЯ ШКОЛЫ 56,нет,столовая,"город Москва, Кутузовский проспект, дом 22",200,55.745924,37.549264,Дорогомилово
1568,120295,Дижестив,нет,кафе,"город Москва, Кутузовский проспект, дом 33",75,55.741465,37.540784,Дорогомилово
1569,29632,СТОЛОВАЯ ШКОЛЫ 1465,нет,столовая,"город Москва, Кутузовский проспект, дом 24",25,55.744526,37.545267,Дорогомилово
1570,21712,ЧУРЧХЕЛЛА,нет,ресторан,"город Москва, Бережковская набережная, дом 12",80,55.738074,37.564446,Дорогомилово
1571,19907,Хилс,нет,ресторан,"город Москва, улица Крылатские Холмы, дом 7, корпус 2",126,55.748782,37.422988,Крылатское
1572,82444,Бульон Крутон,нет,кафе,"город Москва, улица Крылатские Холмы, дом 7, корпус 2",54,55.748782,37.422988,Крылатское
1573,70144,ЛОЛ,нет,кафе,"город Москва, Киевская улица, дом 18",30,55.739691,37.549327,Дорогомилово
1574,157025,Улисс Паб,нет,бар,"город Москва, Кривоарбатский переулок, дом 16/22",100,55.747718,37.588431,Арбат
1575,19906,Кафе «Делишес»,нет,кафе,"город Москва, Рублёвское шоссе, дом 48/1",60,55.754,37.40592,Крылатское
1576,22707,Ресторанный дворик «Рублев»,нет,ресторан,"город Москва, Рублёвское шоссе, дом 48/1",100,55.754,37.40592,Крылатское
1577,148641,Кулинария мясная,нет,магазин (отдел кулинарии),"город Москва, Митинская улица, дом 25",0,55.84443,37.362855,Митино
1578,148605,Кулинария.Салаты,нет,магазин (отдел кулинарии),"город Москва, Митинская улица, дом 25",0,55.84443,37.362855,Митино
1579,23471,СТОЛОВАЯ СОЦ.ДОМ.,нет,столовая,"город Москва, Пятницкое шоссе, дом 31, корпус 2",40,55.85104,37.361409,Митино
1580,23463,СТОЛОВАЯ СОЦ.ДОМ.,нет,столовая,"город Москва, Митинская улица, дом 25, корпус 3",26,55.84308,37.36308,Митино
1581,23464,СТОЛОВАЯ ПРИ СОЦЖИЛДОМЕ,нет,столовая,"город Москва, Ангелов переулок, дом 2, корпус 1",40,55.854987,37.350368,Митино
1582,27386,Столовая ГБПОУ «МТК»,нет,столовая,"город Москва, улица Академика Бочвара, дом 2, корпус 2",80,55.807865,37.46131,Щукино
1583,85578,Суши Wok,да,кафе,"город Москва, Строгинский бульвар, дом 7, корпус 1",8,55.805356,37.400809,Строгино
1584,137483,КАФЕТЕРИЙ,нет,кафетерий,"город Москва, улица Генерала Белобородова, дом 11",0,55.836777,37.354644,Митино
1585,126282,КОНДИТЕРСКАЯ,нет,магазин (отдел кулинарии),"город Москва, улица Генерала Белобородова, дом 11",0,55.836777,37.354644,Митино
1586,22796,РЕСТОРАН-КЛУБ «АНАНАС»,нет,ресторан,"город Москва, улица Генерала Белобородова, дом 11",190,55.836777,37.354644,Митино
1587,69661,Суши Wok,да,магазин (отдел кулинарии),"город Москва, Уваровский переулок, дом 10",0,55.827823,37.350395,Митино
1588,129717,БУРГЕР КИНГ,да,предприятие быстрого обслуживания,"город Москва, Митинская улица, дом 53",104,55.8534,37.351635,Митино
1589,24105,КУЛИНАРИЯ,нет,магазин (отдел кулинарии),"город Москва, Митинская улица, дом 53",1,55.8534,37.351635,Митино
1590,24053,Билла,да,магазин (отдел кулинарии),"город Москва, Митинская улица, дом 53",1,55.8534,37.351635,Митино
1591,74900,УРЮК,да,ресторан,"город Москва, проспект Маршала Жукова, дом 48, корпус 1",130,55.777783,37.465748,Хорошёво-Мнёвники
1592,26993,Сосны,нет,ресторан,"город Москва, 1-я линия Хорошёвского Серебряного Бора, домовладение 10, строение 1",30,55.784379,37.443955,Хорошёво-Мнёвники
1593,19647,Леона,нет,кафе,"город Москва, Воротынская улица, дом 16",32,55.889629,37.390523,Куркино
1594,25835,ROTONDA,нет,ресторан,"город Москва, Авиационная улица, дом 79",90,55.807461,37.448465,Щукино
1595,156178,Гранд Урюк,нет,ресторан,"город Москва, Долгоруковская улица, дом 40",230,55.778137,37.6024,Тверской
1596,157309,Азбука Вкуса,да,кафе,"город Москва, Ленинградский проспект, дом 69, строение 1",10,55.802811,37.517716,Сокол
1597,129609,Булочная 5,нет,кафе,"город Москва, Ленинградский проспект, дом 69, строение 1",15,55.802811,37.517716,Сокол
1598,25838,Чебуречная СССР,да,кафе,"город Москва, Ленинградский проспект, дом 69, строение 1",45,55.802811,37.517716,Сокол
1599,137922,Subway,да,кафе,"город Москва, Селезнёвская улица, дом 4",22,55.779651,37.603837,Тверской
1600,137925,Волконский,да,кафе,"город Москва, Селезнёвская улица, дом 4",12,55.779651,37.603837,Тверской
1601,143541,Антикафе «SHELTER»,нет,бар,"город Москва, Селезнёвская улица, дом 4",25,55.779651,37.603837,Тверской
1602,138589,Кафе «Фортепьяно»,нет,кафе,"город Москва, улица Лавочкина, дом 34",50,55.856295,37.493919,Ховрино
1603,26554,"Ресторан «Виа Романо», «Йоркшир»",нет,ресторан,"город Москва, улица Лавочкина, дом 34",97,55.856295,37.493919,Ховрино
1604,25701,Узбечка,нет,кафе,"город Москва, Коровинское шоссе, дом 2А",35,55.865652,37.545635,Бескудниковский
1605,82691,Школьно-базовая столовая,нет,столовая,"город Москва, Ангарская улица, дом 22, корпус 1",180,55.876102,37.518174,Западное Дегунино
1606,24411,Кино Искра Театр,нет,кафе,"город Москва, улица Костякова, дом 10",40,55.814406,37.57121,Тимирязевский
1607,75267,Фьюжн,нет,ресторан,"город Москва, Дубнинская улица, дом 26, корпус 1",48,55.874491,37.560152,Восточное Дегунино
1608,148227,Суши Wok,да,магазин (отдел кулинарии),"город Москва, Дубнинская улица, дом 15, корпус 1",20,55.860494,37.56733,Восточное Дегунино
1609,76816,Пицца Фабрика,да,кафе,"город Москва, Бескудниковский бульвар, дом 6, корпус 3",36,55.858923,37.563063,Бескудниковский
1610,24760,Subway,да,предприятие быстрого обслуживания,"город Москва, Михалковская улица, дом 1/51",42,55.836534,37.537299,Коптево
1611,838,Темпл Бар,да,кафе,"город Москва, Первомайская улица, дом 33",356,55.792959,37.781623,Измайлово
